Titles,Genres,Watched40
Bitconned — Netflix Documentary ,Documentary ,0
Fool Me Once (GB) — Netflix Series,"Crime, Drama, Mystery",1
You Are What You Eat: A Twin Experiment — Netflix Documentary ,Documentary ,0
Annie (1982),"Comedy, Drama, Family, Musical",1
Batman v Superman: Dawn of Justice,"Action, Adventure, Sci-Fi",0
Braven,"Action, Thriller",0
Chappie,"Action, Crime, Drama",1
Loudermilk: Season 1,"Comedy, Drama",1
Loudermilk: Season 2,"Comedy, Drama",1
Loudermilk: Season 3,"Comedy, Drama",1
Mahalia,"Drama, Biography, Music",1
Mandy,"Action, Thriller",0
One Piece: Marineford,"Animation, Action, Adventure",0
Sex Tape,"Comedy, Romance",1
Something Borrowed,"Comedy, Drama, Romance",1
War Dogs,"Comedy, Crime, Biography ",1
Boy Swallows Universe (AU) — Netflix Series,"Crime, Drama, Mystery ",1
The Brothers Sun — Netflix Series ,"Action, Comedy, Drama",1
Society of the Snow (ES) — Netflix Film ,"Adventure, Biography Drama, Spanish",0
Good Grief — Netflix Film ,"Comedy, Drama, Romance",1
Gyeongseong Creature Part 2 (KR) — Netflix Series,"Action, Drama, History, Korean",1
Mr. D: Season 1,Comedy,1
Mr. D: Season 2,Comedy,1
Mr. D: Season 3,Comedy,1
Batman Begins,"Action, Crime, Drama",1
Break Point: Season 2 (GB) — Netflix Documentary ,"Documentary, Sports",0
The Trust: A Game of Greed — Netflix Documentary ,Documentary,0
Champion (GB) — Netflix Series,"Drama, Sports",1
Sonic Prime Chapter 3 — Netflix Family ,"Animation, Action, Family",0
Lift — Netflix Film ,"Comedy, Crime",1
Love is Blind: Sweden — Netflix Series,"Reality-TV, Romance",1
CoComelon: Season 9,"Animation, Educational, Family",0
maboroshi (JP) — Netflix Anime,"Animation, Anime, Japanese",0
Spider-Man: No Way Home,"Action, Adventure, Sci-Fi",0
Uncharted,"Action, Adventure",0
Umma,"Horror, Drama",1
End of the Line (BR) — Netflix Series,"Drama, Thriller",1
Freaks,"Drama, Sci-Fi, Thriller",1
Rachid Badouri: Les fleurs du tapis (CA) — Netflix Comedy ,"Comedy, Stand-up Comedy, Canada",1
Love is Blind: Sweden — Netflix Series (new episodes) ,"Reality-TV, Romance",1
Love on the Spectrum U.S.: Season 2 — Netflix Series,"Documentary, Reality-TV",1
Mi soledad tiene alas (ES) — Netflix Film ,"Drama, Spanish ",1
Sixty Minutes (DE) — Netflix Film ,"Thriller, Drama, German",1
Captivating the King (KR) — Netflix Series,"Drama, Historical",1
Room,"Drama, Thriller, Korean",1
Not Quite Narwhal: Season 2 — Netflix Family,"Animation, Family",0
Jacqueline Novak: Get on Your Knees — Netflix Comedy ,"Comedy, Stand-up Comedy",1
Train to Busan,"Action, Horror, Thriller",0
Six Nations: Full Contact (GB) — Netflix Documentary ,"Documentary, Sports",0
Queer Eye: Season 8 — Netflix Series,"Reality-TV, Makeover",1
Griselda — Netflix Seires," Drama, Biography",0
Masters of the Universe: Revolution — Netflix Series,"Animation, Action, Adventure",0
The Blacklist: Season 10,"Crime, Drama, Mystery",1
Love is Blind: Sweden — Netflix Series,"Reality-TV, Romance",1
Doctor Slump (KR) — Netflix Series ,"Animation, Comedy, Sci-Fi, Korean",1
Mighty Bheem’s Playtime (IN) — Netflix Family ,"Animation, Family, Educational, Indian ",0
Jack Whitehall: Settle Down (GB) — Netflix Comedy ,"Comedy, Stand-up Comedy,   ",1
Alexander the  (GB) — Netflix Documentary ,"Documentary, History",0
Baby Bandito (CL) — Netflix Documentary,"Documentary, Spanish",0
The Seven Deadly Sins: Four Knights of the Apocalypse: Part 1 (JP) — Netflix Anime ,"Animation, Action, Fantasy",0
WIL (BE) — Netflix FIlm ,Drama ,0
The 5th Wave,"Action, Adventure, Sci-Fi",0
Salves quien puedal (ES) — Netflix Series ,"Drama, Spanish ",1
The Big Sick,"Romance, Comedy, Drama",1
Boyz n the Hood,"Crime, Drama",1
Eat Pray Love,"Romance, Drama",1
Happy Feet,"Animation, Comedy, Family",1
Home Alone,"Comedy, Family",1
Home Alone 2: Lost in New York,"Comedy, Family",1
"House, M.D.: Season 1","Drama, Mystery ",1
"House, M.D.: Season 2","Drama, Mystery ",1
"House, M.D.: Season 3","Drama, Mystery ",1
"House, M.D.: Season 4","Drama, Mystery ",1
"House, M.D.: Season 5","Drama, Mystery ",1
"House, M.D.: Season 6","Drama, Mystery ",1
"House, M.D.: Season 7","Drama, Mystery ",1
"House, M.D.: Season 8","Drama, Mystery ",1
In a World…,Comedy ,0
Little Women (1994),"Drama, Romance",1
Minions,"Animation, Adventure, Comedy ",0
Mr. Deeds,"Comedy, Romance",1
Seven,"Crime, Drama, Mystery",1
The Shawshank Redemption,Drama,1
The Skeleton Twins,"Comedy, Drama, Romance",1
This Is Where I Leave You,"Comedy, Drama",1
Tusk,"Comedy, Horror ",1
Let’s Talk About Chu (TW) — Netflix Series,"Comedy, Drama, Romance",1
Orion and the Dark — Netflix Family ,"Animation, Adventure, Comedy ",0
Plus One,"Comedy, Drama, Romance",1
Dee & Friends in Oz — Netflix Family ,"Animation, Adventure, Comedy ",0
The Devil Wears Prada,"Comedy, Drama",1
The Hating Game,"Comedy, Romance",1
Love Never Lies Poland: Season 2 Part 2 (PL) — Netflix Series,Reality-TV ,0
Lux: The Light of the Heart (BZ) — Netflix Family ,"Adventure, Comedy, Family",1
Mr. D: Season 4,Comedy ,0
Mr. D: Season 5,Comedy ,0
Mr. D: Season 6,Comedy ,0
Raël: The Alien Prophet (Fr) — Netflix Documentary,Documentary,0
One Day (GB) — Netflix Series,"Comedy, Drama, Romance",1
A Killer Paradox (KR) — Netflix Series ,"Comedy, Crime, Thriller",1
Alpha Males: Season 2 (ES) — Netflix Series,Comedy,1
Ashes (TR) — Netflix Film ,"Drama, Romance",1
Bhakshak (IN) — Netflix Film ,"Crime, Drama",1
Despicable Me,"Animation, Adventure, Comedy ",0
Despicable Me 2,"Animation, Adventure, Comedy ",0
Despicable Me 3,"Animation, Adventure, Comedy ",0
"Lover, Stalker, Killer (GB) — Netflix Documentary ","Documentary, Crime",1
Father Stu,"Biography, Drama",1
Kill Me If You Dare (PL) — Netflix Film ,"Comedy, Romance",1
Sunderland ‘Til I Die: Season 3 (GB) — Netflix Documentary ,"Documentary, Sport",0
Taylor Tomlinson: Have It All — Netflix Comedy ,"Stand-Up, Documentary, Comedy ",0
A Soweto Love Story (ZA) — Netflix Film ,"Comedy, Romance",1
"Good Morning, Verōnica: Season 3 (BZ) — Netflix Series","Crime, Drama, Mystery",1
The Heartbreak Agency (DE) — Netflix Film ,"Comedy, Romance",1
Love Is Blind: Season 6 — Netflix Series,"Reality-TV, Romance",1
Players — Netflix Film ,"Comedy, Romance",1
AlRawabi School for Girls: Season 2 (JO) — Netflix Series,Drama,1
Crossroads,"Comedy, Drama, Romance",1
House of Ninjas (JP) — Netflix Series,"Action, Thriller, Drama",1
Little Nicholas: Life of a Scoundrel (ES) — Netflix Documentary ,"Documentary, Crime",1
"Love, Simon","Comedy, Drama",1
"Ready, Set, Love (TH) — Netflix Series","Comedy, Romance",1
The Vince Staples Show — Netflix Series,"Biography, Comedy, Drama",1
The Abyss (SE) — Netflix Film ,"Adventure, Drama, Mystery",1
Comedy Chaos (ID) — Netflix Series,Comedy,1
Einstein and the Bomb (GB) — Netflix Documentary ,Documentary,0
Jurassic Park,"Adventure, Sci-Fi, Thriller",0
Jurassic Park III,"Adventure, Sci-Fi, Thriller",0
The Lost World: Jurassic Park,"Adventure, Sci-Fi, Thriller",0
Hereditary,"Horror, Drama, Mystery",1
Little Angel: Volume 4,"Animation, Educational, Family",0
Rhythm + Flow Italy (IT) — Netflix Series,"Music, Reality-TV",1
22 Jump Street,"Action, Comedy, Crime",1
Mike Epps: Ready to Sell Out — Netflix Comedy ,"Comedy, Stand-up Comedy",1
Can I Tell You A Secret (GB) — Netflix Documentary ,Documentary,0
Avatar: The Last Airbender — Netflix Family ,"Animation, Action, Adventure",0
Formula 1: Drive to Survive: Season 6 (GB) — Netflix Documentary ,"Documentary, Sport",0
Mea Culpa — Netflix Film ,"Crime, Drama, Mystery, Thriller",1
Through My Window: Looking at You (ES) — Netflix Film ,"Comedy, Drama, Romance",1
The 30th Annual Screen Actors Guild Awards — Netflix Live Event ,TV Special,0
Blippi Wonders: Season 3,"Animation, Family ",0
Rhythm + Flow Italy (IT) –Netflix Series,"Music, Reality-TV",1
American Conspiracy: The Octopus Murders — Netflix Documentary,"Crime, Documentary ",1
The Mire Millennium (PL) — Netflix Series,"Crime, Drama, Mystery",1
Code 8 Part II — Netflix Film,"Action, Crime, Drama",1
A Round of Applause (TR) — Netflix Series,Drama,1
Morbius,"Action, Adventure, Horror",0
