Titles,Genres,Watched40
Bitconned — Netflix Documentary ,Documentary ,
Fool Me Once (GB) — Netflix Series,"Crime, Drama, Mystery",
You Are What You Eat: A Twin Experiment — Netflix Documentary ,Documentary ,
Annie (1982),"Comedy, Drama, Family, Musical",
Batman v Superman: Dawn of Justice,"Action, Adventure, Sci-Fi",
Braven,"Action, Thriller",
Chappie,"Action, Crime, Drama",
Loudermilk: Season 1,"Comedy, Drama",
Loudermilk: Season 2,"Comedy, Drama",
Loudermilk: Season 3,"Comedy, Drama",
Mahalia,"Drama, Biography, Music",
Mandy,"Action, Thriller",
One Piece: Marineford,"Animation, Action, Adventure",
Sex Tape,"Comedy, Romance",
Something Borrowed,"Comedy, Drama, Romance",
War Dogs,"Comedy, Crime, Biography ",
Boy Swallows Universe (AU) — Netflix Series,"Crime, Drama, Mystery ",
The Brothers Sun — Netflix Series ,"Action, Comedy, Drama",
Society of the Snow (ES) — Netflix Film ,"Adventure, Biography Drama, Spanish",
Good Grief — Netflix Film ,"Comedy, Drama, Romance",
Gyeongseong Creature Part 2 (KR) — Netflix Series,"Action, Drama, History, Korean",
Mr. D: Season 1,Comedy,
Mr. D: Season 2,Comedy,
Mr. D: Season 3,Comedy,
Batman Begins,"Action, Crime, Drama",
Break Point: Season 2 (GB) — Netflix Documentary ,"Documentary, Sports",
The Trust: A Game of Greed — Netflix Documentary ,Documentary,
Champion (GB) — Netflix Series,"Drama, Sports",
Sonic Prime Chapter 3 — Netflix Family ,"Animation, Action, Family",
Lift — Netflix Film ,"Comedy, Crime",
Love is Blind: Sweden — Netflix Series,"Reality-TV, Romance",
CoComelon: Season 9,"Animation, Educational, Family",
maboroshi (JP) — Netflix Anime,"Animation, Anime, Japanese",
Spider-Man: No Way Home,"Action, Adventure, Sci-Fi",
Uncharted,"Action, Adventure",
Umma,"Horror, Drama",
End of the Line (BR) — Netflix Series,"Drama, Thriller",
Freaks,"Drama, Sci-Fi, Thriller",
Rachid Badouri: Les fleurs du tapis (CA) — Netflix Comedy ,"Comedy, Stand-up Comedy, Canada",
Love is Blind: Sweden — Netflix Series (new episodes) ,"Reality-TV, Romance",
Love on the Spectrum U.S.: Season 2 — Netflix Series,"Documentary, Reality-TV",
Mi soledad tiene alas (ES) — Netflix Film ,"Drama, Spanish ",
Sixty Minutes (DE) — Netflix Film ,"Thriller, Drama, German",
Captivating the King (KR) — Netflix Series,"Drama, Historical",
Room,"Drama, Thriller, Korean",
Not Quite Narwhal: Season 2 — Netflix Family,"Animation, Family",
Jacqueline Novak: Get on Your Knees — Netflix Comedy ,"Comedy, Stand-up Comedy",
Train to Busan,"Action, Horror, Thriller",
Six Nations: Full Contact (GB) — Netflix Documentary ,"Documentary, Sports",
Queer Eye: Season 8 — Netflix Series,"Reality-TV, Makeover",
Griselda — Netflix Seires," Drama, Biography",
Masters of the Universe: Revolution — Netflix Series,"Animation, Action, Adventure",
The Blacklist: Season 10,"Crime, Drama, Mystery",
Love is Blind: Sweden — Netflix Series,"Reality-TV, Romance",
Doctor Slump (KR) — Netflix Series ,"Animation, Comedy, Sci-Fi, Korean",
Mighty Bheem’s Playtime (IN) — Netflix Family ,"Animation, Family, Educational, Indian ",
Jack Whitehall: Settle Down (GB) — Netflix Comedy ,"Comedy, Stand-up Comedy,   ",
Alexander the  (GB) — Netflix Documentary ,"Documentary, History",
Baby Bandito (CL) — Netflix Documentary,"Documentary, Spanish",
The Seven Deadly Sins: Four Knights of the Apocalypse: Part 1 (JP) — Netflix Anime ,"Animation, Action, Fantasy",
WIL (BE) — Netflix FIlm ,Drama ,
The 5th Wave,"Action, Adventure, Sci-Fi",
Salves quien puedal (ES) — Netflix Series ,"Drama, Spanish ",
The Big Sick,"Romance, Comedy, Drama",
Boyz n the Hood,"Crime, Drama",
Eat Pray Love,"Romance, Drama",
Happy Feet,"Animation, Comedy, Family",
Home Alone,"Comedy, Family",
Home Alone 2: Lost in New York,"Comedy, Family",
"House, M.D.: Season 1","Drama, Mystery ",
"House, M.D.: Season 2","Drama, Mystery ",
"House, M.D.: Season 3","Drama, Mystery ",
"House, M.D.: Season 4","Drama, Mystery ",
"House, M.D.: Season 5","Drama, Mystery ",
"House, M.D.: Season 6","Drama, Mystery ",
"House, M.D.: Season 7","Drama, Mystery ",
"House, M.D.: Season 8","Drama, Mystery ",
In a World…,Comedy ,
Little Women (1994),"Drama, Romance",
Minions,"Animation, Adventure, Comedy ",
Mr. Deeds,"Comedy, Romance",
Seven,"Crime, Drama, Mystery",
The Shawshank Redemption,Drama,
The Skeleton Twins,"Comedy, Drama, Romance",
This Is Where I Leave You,"Comedy, Drama",
Tusk,"Comedy, Horror ",
Let’s Talk About Chu (TW) — Netflix Series,"Comedy, Drama, Romance",
Orion and the Dark — Netflix Family ,"Animation, Adventure, Comedy ",
Plus One,"Comedy, Drama, Romance",
Dee & Friends in Oz — Netflix Family ,"Animation, Adventure, Comedy ",
The Devil Wears Prada,"Comedy, Drama",
The Hating Game,"Comedy, Romance",
Love Never Lies Poland: Season 2 Part 2 (PL) — Netflix Series,Reality-TV ,
Lux: The Light of the Heart (BZ) — Netflix Family ,"Adventure, Comedy, Family",
Mr. D: Season 4,Comedy ,
Mr. D: Season 5,Comedy ,
Mr. D: Season 6,Comedy ,
Raël: The Alien Prophet (Fr) — Netflix Documentary,Documentary,
One Day (GB) — Netflix Series,"Comedy, Drama, Romance",
A Killer Paradox (KR) — Netflix Series ,"Comedy, Crime, Thriller",
Alpha Males: Season 2 (ES) — Netflix Series,Comedy,
Ashes (TR) — Netflix Film ,"Drama, Romance",
Bhakshak (IN) — Netflix Film ,"Crime, Drama",
Despicable Me,"Animation, Adventure, Comedy ",
Despicable Me 2,"Animation, Adventure, Comedy ",
Despicable Me 3,"Animation, Adventure, Comedy ",
"Lover, Stalker, Killer (GB) — Netflix Documentary ","Documentary, Crime",
Father Stu,"Biography, Drama",
Kill Me If You Dare (PL) — Netflix Film ,"Comedy, Romance",
Sunderland ‘Til I Die: Season 3 (GB) — Netflix Documentary ,"Documentary, Sport",
Taylor Tomlinson: Have It All — Netflix Comedy ,"Stand-Up, Documentary, Comedy ",
A Soweto Love Story (ZA) — Netflix Film ,"Comedy, Romance",
"Good Morning, Verōnica: Season 3 (BZ) — Netflix Series","Crime, Drama, Mystery",
The Heartbreak Agency (DE) — Netflix Film ,"Comedy, Romance",
Love Is Blind: Season 6 — Netflix Series,"Reality-TV, Romance",
Players — Netflix Film ,"Comedy, Romance",
AlRawabi School for Girls: Season 2 (JO) — Netflix Series,Drama,
Crossroads,"Comedy, Drama, Romance",
House of Ninjas (JP) — Netflix Series,"Action, Thriller, Drama",
Little Nicholas: Life of a Scoundrel (ES) — Netflix Documentary ,"Documentary, Crime",
"Love, Simon","Comedy, Drama",
"Ready, Set, Love (TH) — Netflix Series","Comedy, Romance",
The Vince Staples Show — Netflix Series,"Biography, Comedy, Drama",
The Abyss (SE) — Netflix Film ,"Adventure, Drama, Mystery",
Comedy Chaos (ID) — Netflix Series,Comedy,
Einstein and the Bomb (GB) — Netflix Documentary ,Documentary,
Jurassic Park,"Adventure, Sci-Fi, Thriller",
Jurassic Park III,"Adventure, Sci-Fi, Thriller",
The Lost World: Jurassic Park,"Adventure, Sci-Fi, Thriller",
Hereditary,"Horror, Drama, Mystery",
Little Angel: Volume 4,"Animation, Educational, Family",
Rhythm + Flow Italy (IT) — Netflix Series,"Music, Reality-TV",
22 Jump Street,"Action, Comedy, Crime",
Mike Epps: Ready to Sell Out — Netflix Comedy ,"Comedy, Stand-up Comedy",
Can I Tell You A Secret (GB) — Netflix Documentary ,Documentary,
Avatar: The Last Airbender — Netflix Family ,"Animation, Action, Adventure",
Formula 1: Drive to Survive: Season 6 (GB) — Netflix Documentary ,"Documentary, Sport",
Mea Culpa — Netflix Film ,"Crime, Drama, Mystery, Thriller",
Through My Window: Looking at You (ES) — Netflix Film ,"Comedy, Drama, Romance",
The 30th Annual Screen Actors Guild Awards — Netflix Live Event ,TV Special,
Blippi Wonders: Season 3,"Animation, Family ",
Rhythm + Flow Italy (IT) –Netflix Series,"Music, Reality-TV",
American Conspiracy: The Octopus Murders — Netflix Documentary,"Crime, Documentary ",
The Mire Millennium (PL) — Netflix Series,"Crime, Drama, Mystery",
Code 8 Part II — Netflix Film,"Action, Crime, Drama",
A Round of Applause (TR) — Netflix Series,Drama,
Morbius,"Action, Adventure, Horror",